"city_id","country_id","state_id","name","population"
"cb0ad72f-b8b0-46af-8778-90720e545a59","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Bakerhill town",207
"927bce5e-3945-44fb-997b-c147adacf250","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Banks town",155
"5198b713-94f7-4dbf-9f7d-dc8dd99bc5bb","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Bay Minette city",7894
"016540e8-c95b-438e-98f8-23b57d758195","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Bayou La Batre city",2182
"4e09d0e6-dc5b-4608-bf5b-20755943d251","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Bear Creek town",1043
"d8812744-e9c3-4700-8338-297da3a590f3","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Beatrice town",203
"edcf1530-7026-43e6-b905-e40086673498","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Beaverton town",183
"348a3a8f-0f84-47be-8a28-02c2567014ac","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Belk town",188
"b9b5c78b-e5fa-4e4a-9d28-b6a0e3e0b778","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Benton town",39
"1eb1f1d6-b1fb-4133-a2b4-5b261d59092d","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Berlin town",498
"220c4385-0ab6-4282-8c83-730eb7ce0554","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Berry town",1204
"09f580a8-2c6d-4774-a0ad-bb0efd17be98","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Bessemer city",25615
"6dc5611c-7c0f-49ee-806e-d3c40006abb0","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Billingsley town",126
"83f8c62a-4a13-4fc2-8a61-5e4915d7d80c","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Birmingham city",197575
"292d4fd7-07ae-433a-982d-9cb4647eb84c","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Black town",226
"78835bd8-17f6-4ad5-bf17-5e5cc6be56fd","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Blountsville town",1827
