"state_id","name","population","country_id"
"4b62177f-7eb0-448e-86c1-3e168e44cc29","Alabama",3093781,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"8f31ba94-b1ad-4a65-902c-520e8491e1af","Alaska",495250,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"2508241a-0911-48c3-8ee7-ed0c86578b61","Arizona",5828853,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"8f58b484-c8b0-4427-8ef8-bd481da61812","Arkansas",2019428,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"55925ec8-b5d5-4895-a3d4-972d9d0ab6f6","California",32733905,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"c5f2980a-293b-460b-9677-9c7e9aaba8a0","Colorado",4329707,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"0bea2631-56bc-424d-814f-dceaa1578d6c","Connecticut",1411207,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"a835cf5c-33a5-4f18-be2b-9e3d888684da","Delaware",284978,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"e51aa586-4637-4083-a61c-7a4d0775b5e8","District of Columbia",670050,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"be9f1696-e79f-4749-bbf8-655199d6ceb3","Florida",10903125,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"542d5737-5597-43a1-81af-10da0d0db53c","Georgia",4784139,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"b5d29b14-6976-4024-8925-fa1180475071","Hawaii",345510,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"513f44b3-1355-4b06-9925-bb52305223ec","Idaho",1344668,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"6f5ab341-b6dd-4fc3-ae5a-5570ac34da42","Illinois",11044560,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"b30d0792-9062-400e-bd31-dc4cfc645465","Indiana",4575579,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"439430a1-fef2-42a8-9229-fbdef3c32755","Iowa",2567602,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"e8d8b731-7040-44fd-b72d-a57ab05ed0f9","Kansas",2441325,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"b10e0ceb-92c1-4db5-86a7-67e851e840a5","Kentucky",2512009,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"8d5b9e24-66de-415d-9ad4-43d4f750704b","Louisiana",2134273,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
